OBJECTID,contract date,sub decree date,Name,year of establishment,Inside PA?,PA name,current designation,previous designation,Change des?,Original establishment Year,Area m sq,area ha,Shape_Length,Shape_Area
1,9/25/2009,Not found, ,2009,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,129980811.8,12998.08118,66361.93809,129980811.8
26,12/8/2009,Not found, ,2009,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,102441350.2,10244.13502,43278.4066,102441350.2
108, , ,Union Development Group,2009,Y,Botum Sakor National Park,National Park, , ,1993,362808144.1,36280.81441,166341.3351,362808144.1
109, , ,Chub Rubber Plantation - LYP Group,2009,N, , , , ,0,150942326.9,15094.23269,77678.75839,150942326.9
110, , ,DTC Group,2009,N, , , , ,0,58140074.31,5814.007431,30795.47841,58140074.31
111, , ,HLH,2009,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,104924491,10492.4491,76857.03122,104924491
112, , ,Rath Sambath,2009,Y,Samlaut Multiple Use Area,Multiple Use Management Area, , ,1993,52000036.58,5200.003658,34000.01191,52000036.58
113, , ,Unigreen Resources,2009,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,117171960.3,11717.19603,46633.78431,117171960.3
114, , ,Varanasi - SOCFIN KCD,2009,Y,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,25412723.27,2541.272327,23920.78039,25412723.27
115, , ,Farmer (Provincial),2009,N, , , , ,0,9012217.671,901.2217671,15012.90831,9012217.671
116, , ,An Sophy,2009,N, , , , ,0,18005882.33,1800.588233,18988.61832,18005882.33
117, , ,Golden Farming (Provincial),2009,N, , , , ,0,10544881.84,1054.488184,15525.14016,10544881.84
118, , ,Heng Heap,2009,Y,Ou Ya Dav National Park,National Park, , ,2009,70651656.86,7065.165686,35169.04716,70651656.86
119, , ,Heng Brother,2009,N, , , , ,0,31871439.66,3187.143966,33604.73731,31871439.66
120, , ,Mega Star,2009,N, , , , ,0,90659004.21,9065.900421,43086.45993,90659004.21
121, , ,Kiri Aphivath,2009,N, , , , ,0,9434467.969,943.4467969,14760.1361,9434467.969
122, , ,Hout Sambath,2009,Y,Snuol Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,64262402.05,6426.240205,34370.343,64262402.05
123, , ,Samnang Angkor,2009,Y,Snuol Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,15648109.67,1564.810967,20661.95526,15648109.67
124, , ,Hoang Anh Mang Yang Rubber,2009,N, , , , ,0,77495008.49,7749.500849,60448.25448,77495008.49
125, , ,Mondulagri Resources,2009,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,97060100.21,9706.010021,48153.59766,97060100.21
126, , ,Central First,2009,N,Sambor Wildlife Sanctuary,Wildlife Sanctuary, , ,2018,107300416.9,10730.04169,59604.06448,107300416.9
127, , ,B.N.A. Kampong Thom,2009,N, , , , ,0,104972007,10497.2007,51904.91912,104972007
128, , ,Fortuna Plantation,2009,N, , , , ,0,8512736.619,851.2736619,14980.09575,8512736.619
129, , ,Fortuna Plantation,2009,N, , , , ,0,120502537.3,12050.25373,63863.57339,120502537.3
130, , ,Un-Inter Trading and Development,2009,N, , , , ,0,89546126.02,8954.612602,52142.83962,89546126.02
131, , ,Research Mining and Development,2009,N, , , , ,0,109786895.4,10978.68954,66901.67402,109786895.4
