OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Current_name,category,Previous_name,Original_designation,Change_des?,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,contract_date,sub_decree_date,Name,year_establishment,Inside_PA,PA_name,current_designation,previous designation,Change_des,Original_establishment_Year2,Area_msq,area_ha,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
26,1,6,77,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Jing Zhong Ri,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,94610839.9,9461.08399,51113.34625,94610839.9,325323.3696,2508462851
27,1,6,92,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Hoang Anh Andong Meas,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,90461544.54,9046.154454,62180.83623,90461544.54,325323.3696,2508462851
28,1,6,93,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Hoang Anh Lumpath,2011,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,106042811.6,10604.28116,51361.19562,106042811.6,325323.3696,2508462851
29,1,6,109,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Rat Sokhorn Incorporation,2012,Y,Lomphat Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,88911669.66,8891.166966,65497.50843,88911669.66,325323.3696,2508462851
33,0,10,-1,"Preah Soramrit-Kosomak ""Kirirom"" National Park",National Park,Kirirom,National Park,N,1993,27684.57787,"35,000","Kampong Speu, Koh Kong, Preah Sihanouk",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,,,,,,,,,,,,,,,64243.06162,276845779.1
34,1,11,73,Roniem Daun Sam I Wildlife Sanctuary,Wildlife Sanctuary,Roniem Daun Sam I,Wildlife Sanctuary,N,1993,16565.47842,"16,565","Battambang, Banteay Meanchey",Not found,Not found,Royal_Decree_No_291__29.09.2003.pdf,22/5/2014,English, , ,Suon Mean Sambath,2011,Y,Roniem Daun Sam I Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,40999986.68,4099.998668,31999.99495,40999986.68,66930.81318,165654784.1
35,0,12,-1,Preah Vihear Temple Protected Landscape,Protected Landscape,Preah Vihear Temple,Protected Landscape,N,1993,4046.485778,"5,000",Preah Vihear,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,,,,,,,,,,,,,,,33581.63003,40464857.74
36,1,13,11,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,Not found,5/18/2012, ,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,110914197.4,11091.41974,81015.00941,110914197.4,352041.066,4070704851
37,1,13,80,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Tomring Rubber,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,77544447.2,7754.44472,39359.55226,77544447.2,352041.066,4070704851
38,1,13,81,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Data Rubber,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,77059382.69,7705.938269,71910.25295,77059382.69,352041.066,4070704851
