OBJECTID,Current_name,category,Previous_name,Original_designation,Change_des,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,Shape_Length,Shape_Area
33,Cultural Resort of Banteay Chmar Temple,Protected Landscape,Banteay Chhmar,Protected Landscape,N,1993,871.8474837,780,Banteay Meanchey,Not found,Not found,Royal_Decree_No_117__13.03.2003.pdf; Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,15113.80132,8718474.636
38,Virachey National Park,National Park,Virachey,National Park and ASEAN Heritage Park,Y,1993,338632.7077,"332,500",Stung Treng,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,529037.3279,3386327076
39,Snuol Wildlife Sanctuary,Wildlife Sanctuary,Snoul,Wildlife Sanctuary,N,1993,75397.47065,"75,000",Kratie,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,221287.222,753974706.9
42,Botum Sakor National Park,National Park,Botum Sakor,National Park,N,1993,182889.895,"171,250",Koh Kong,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,257913.4404,1828898950
44,Roniem Daun Sam III Wildlife Sanctuary,Wildlife Sanctuary,Roniem Daun sam III,Wildlife Sanctuary,N,1993,2099.96799,"2,121",Battambang,Not found,Not found,Royal_Decree_No_291__29.09.2003.pdf,22/5/2014,English,19999.84753,20999679.59
48,Peam Krasop Wildlife Sanctuary,Wildlife Sanctuary,Peam Krasop,Wildlife Sanctuary,N,1993,25472.44108,"23,750",Koh Kong,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,88196.60952,254724410.9
51,Prasat Bakan Protected Landscape,Protected Landscape,Beng Per,Wildlife Sanctuary,Y,1993,2130.301603,"2,124",Preah Vihear,Sangkum Thmei,Not found,Sub-decree_No_144__31.08.2017.pdf,7/11/2017,English,21550.16015,21303016.02
53,Phnom Yart Natural Heritage Site,Natural Heritage Site,Samlaut,Multiple Use Management Area,Y,1993,32.0204,31.951,Pailin,Pailin,Pailin,Sub_decree_100__19.06.2017.pdf,28/8/2017,English,2530.039488,320204.0208
54,Samlaut Multiple Use Area,Multiple Use Management Area,Samlaut,Multiple Use Management Area,N,1993,60982.93621,"60,000",Battambang,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,139122.3489,609829362.3
16,Phnom Samkos Wildlife Sanctuary,Wildlife Sanctuary,Phnom Samkos,Wildlife Sanctuary,N,1994,330200.0373,"333,750",Koh Kong,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,342779.4735,3302000373
